ID;Intitule;Choice 1;Choice 2;Choice 3;Choice 4;Illustration;Answer
1;Quel est le nom des habitants de Médavy ?;les Médavisiens;les Médavissois;les Médiavionnais;les Magno-ludoviciens;;Il s'agit des Médavisiens. Les magno-ludoviciens  sont les élèves du Lycée Louis-le-grand à Paris !
2;Dans quel département se trouve le Château de Médavy ?;l'Orne;le Calvados;la Mayenne;la Sarthe;;Médavy se trouve dans l'Orne, à un emplacement stratégique sur la route reliant Argentan à Sées
3;De quel siècle date la construction du batiment actuel ?;du XVIIIe siècle;du XVIIe siècle;du XIXe siècle;du XVIe siècle;;Le bâtiment principal du Château actuel fut érigé entre 1705 et 1724 par Jacques-Léonor Rouxel de Médavy, sur les bases d’une forteresse plus ancienne comme en témoignent les douves et deux tours imposantes
4;Quels sont les noms des deux tours bordant les douves du Château ?;les tours Saint Jean et Saint Pierre;les tours Saint Michel et Saint Léonard;les tours Sainte Marie et Saint Paul;les tours Saint Nicolas et Saint Géraud;;Les deux tours sont la tour Saint Jean, totalement rénovée en 2013, et la tour Saint Pierre, abritant une chapelle
5;Quel grand haras national se trouvant à 9km de Médavy ?;le Haras du Pin;le Haras de l'Isle Briand;le Haras de Pompadour;le haras Sainte Eugénie;;Il s'agit du haras national du pin, qui a accueilli les jeux équestre mondiaux en 2014
6;Quelle fleuve a été détourné pour remplir les douves d'eau vive au XVIIIe siècle ?;l'Orne;la Seine;l'Eure;la Risle;;Il s'agit de l'Orne, qui se jette dans la Manche à Ouistreham, dans le département du Calvados
7;WIP;WIP;WIP;WIP;WIP;;WIP
8;WIP;WIP;WIP;WIP;WIP;;WIP
9;WIP;WIP;WIP;WIP;WIP;;WIP
10;WIP;WIP;WIP;WIP;WIP;;WIP
